	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
2	0.0	0.5263	0.4127	0.1981	0.2174	0.2969	0.3537	0.3925	0.3926	0.4121	0.3957	0.4437	0.3801	0.4843	0.3271	0.3874	0.4812	0.3784
3	0.2609	0.38	0.2462	0.275	0.4727	0.4015	0.3179	0.4787	0.322	0.3	0.4012	0.3392	0.4151	0.444	0.3745	0.4099	0.3741	0.4439
4	0.5417	0.2667	0.4203	0.369	0.5143	0.2958	0.2716	0.3596	0.3662	0.3219	0.5	0.3289	0.3	0.4574	0.5113	0.3898	0.5116	0.2283
5	0.4483	0.1667	0.4308	0.1935	0.3101	0.3733	0.2558	0.4438	0.4052	0.293	0.3995	0.526	0.409	0.3014	0.4246	0.572	0.3708	0.3554
6	0.4667	0.5116	0.3636	0.3438	0.2845	0.2441	0.3379	0.3509	0.3377	0.4121	0.5444	0.3805	0.32	0.3449	0.4892	0.4329	0.3967	0.266
7	0.0	0.3409	0.2131	0.3553	0.2381	0.3672	0.4452	0.4186	0.2712	0.3639	0.2816	0.4825	0.5703	0.2996	0.4087	0.4267	0.4653	0.3182
8	0.25	0.6939	0.2308	0.1743	0.2157	0.3929	0.2395	0.3495	0.3976	0.4282	0.4631	0.3636	0.2392	0.4093	0.4183	0.4382	0.388	0.5507
9	0.5455	0.2826	0.5921	0.1778	0.4286	0.323	0.2867	0.2825	0.3212	0.3411	0.4572	0.3777	0.3564	0.4067	0.4364	0.4904	0.4482	0.4247
10	0.3451	0.3222	0.3271	0.3562	0.3719	0.3535	0.3141	0.3643	0.3555	0.3797	0.4139	0.3746	0.406	0.3772	0.4092	0.3758	0.4773	0.3259
11	0.0	0.5333	0.3611	0.5455	0.3211	0.4297	0.2722	0.3312	0.3974	0.4584	0.2661	0.3378	0.4693	0.4164	0.4303	0.3632	0.3961	0.3125
